Code;Entity;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;
GNB Total;;1161.9926;1138.2538;1174.8467;1246.0208;1208.4489;1178.5889;1108.1575;1132.739;1112.0535;1091.4033;809.8549;807.33746;806.6247;916.40906;926.11926;915.8147;913.9182;946.6117;898.46826;907.2298;907.236;896.62317;890.10126;886.97314;907.5775;914.8769;928.79553;733.6317;719.8099;703.1273;656.3425;;;
GNQ;Equatorial Guinea;1092.6594;1052.9137;1017.286;977.6971;941.9322;907.03564;875.41815;947.67395;1255.4365;1207.0012;4751.2705;2574.472;37471.24;38771.44;7523.655;26154.957;30517.992;32212.723;30431.822;30738.887;28152.885;28943.424;26990.076;26720.799;24158.016;20745.453;19728.445;21365.682;18711.834;17644.693;11328.123;;;
GNQ Total;;1092.6594;1052.9137;1017.286;977.6971;941.9322;907.03564;875.41815;947.67395;1255.4365;1207.0012;4751.2705;2574.472;37471.24;38771.44;7523.655;26154.957;30517.992;32212.723;30431.822;30738.887;28152.885;28943.424;26990.076;26720.799;24158.016;20745.453;19728.445;21365.682;18711.834;17644.693;11328.123;;;
GRC;Greece;27888.309;28049.93;28307.635;28450.086;28705.861;29529.844;30063.527;30715.895;32430.525;32263.9;33796.73;33961.258;33917.586;35850.453;35828.086;35956.984;37034.242;37808.297;37168.062;35855.25;34298.055;33738.633;31860.057;30079.553;28344.934;28845.504;28556.062;30131.885;30475.123;29966.309;26343.523;;;
GRC Total;;27888.309;28049.93;28307.635;28450.086;28705.861;29529.844;30063.527;30715.895;32430.525;32263.9;33796.73;33961.258;33917.586;35850.453;35828.086;35956.984;37034.242;37808.297;37168.062;35855.25;34298.055;33738.633;31860.057;30079.553;28344.934;28845.504;28556.062;30131.885;30475.123;29966.309;26343.523;;;
GRD;Grenada;5306.143;5268.2793;5362.855;6096.51;6923.7095;6252.483;6645.128;8735.42;7528.6333;7484.5215;8030.945;8319.619;8525.037;8976.218;8654.664;9039.732;9290.929;9798.676;10349.056;9980.4795;10297.715;10196.201;10296.617;11516.319;9650.67;9958.878;10175.044;10974.274;10724.042;10655.754;8918.377;;;
GRD Total;;5306.143;5268.2793;5362.855;6096.51;6923.7095;6252.483;6645.128;8735.42;7528.6333;7484.5215;8030.945;8319.619;8525.037;8976.218;8654.664;9039.732;9290.929;9798.676;10349.056;9980.4795;10297.715;10196.201;10296.617;11516.319;9650.67;9958.878;10175.044;10974.274;10724.042;10655.754;8918.377;;;
GRL;Greenland;40911.164;40364.66;35856.72;36647.945;36867.426;36809.293;38890.434;39816.215;39778.47;48920.96;52953.5;49252.45;47520.086;51946.254;49968.973;60154.367;55261.266;62545.47;55727.66;61194.82;77434.97;76637.78;64041.523;64544.35;60480.35;64502.316;63640.645;63297.49;64539.72;62941.348;63375.285;;;
GRL Total;;40911.164;40364.66;35856.72;36647.945;36867.426;36809.293;38890.434;39816.215;39778.47;48920.96;52953.5;49252.45;47520.086;51946.254;49968.973;60154.367;55261.266;62545.47;55727.66;61194.82;77434.97;76637.78;64041.523;64544.35;60480.35;64502.316;63640.645;63297.49;64539.72;62941.348;63375.285;;;
GTM;Guatemala;2580.3914;2442.8733;2619.8079;2726.418;2964.7603;3090.0823;3114.6562;3279.8994;3761.1628;3953.9182;4058.544;4133.946;4082.936;4382.797;4045.296;4087.143;4242.915;4454.024;4052.9338;4154.522;4004.3474;4004.556;4204.253;4409.617;4562.1045;5002.62;5357.698;5708.0923;5774.4165;5851.735;5734.4775;;;
GTM Total;;2580.3914;2442.8733;2619.8079;2726.418;2964.7603;3090.0823;3114.6562;3279.8994;3761.1628;3953.9182;4058.544;4133.946;4082.936;4382.797;4045.296;4087.143;4242.915;4454.024;4052.9338;4154.522;4004.3474;4004.556;4204.253;4409.617;4562.1045;5002.62;5357.698;5708.0923;5774.4165;5851.735;5734.4775;;;
GUF;French Guiana;24645.549;26026.326;20698.145;26612.408;25653.328;28842.443;27419.594;26847.871;25919.299;25022.24;13692.394;24055.818;21448.084;23991.318;23038.805;22194.945;20146.705;21347.045;21257.764;24371.533;22791.225;22895.383;0;0;0;0;0;0;0;0;0;;;
GUF Total;;24645.549;26026.326;20698.145;26612.408;25653.328;28842.443;27419.594;26847.871;25919.299;25022.24;13692.394;24055.818;21448.084;23991.318;23038.805;22194.945;20146.705;21347.045;21257.764;24371.533;22791.225;22895.383;0;0;0;0;0;0;0;0;0;;;
GUM;Guam;55289.344;60928.65;72012.18;93963.52;134685.77;98537.45;86110.73;96783.4;78962.93;86648.79;87275.984;119841.04;82767.82;69718.664;80743.29;94305.46;99310.29;71704.37;45162.445;71809.61;63885.816;56198.336;59909.613;50317.52;48555.64;51455.406;48375.195;44338.29;44438.316;44431.332;42094.266;;;
GUM Total;;55289.344;60928.65;72012.18;93963.52;134685.77;98537.45;86110.73;96783.4;78962.93;86648.79;87275.984;119841.04;82767.82;69718.664;80743.29;94305.46;99310.29;71704.37;45162.445;71809.61;63885.816;56198.336;59909.613;50317.52;48555.64;51455.406;48375.195;44338.29;44438.316;44431.332;42094.266;;;
GUY;Guyana;3649.2754;4318.6465;4790.2637;6093.414;6071.6753;5140.5713;5587.7764;5932.4985;7655.7007;9174.269;9131.178;8915.736;9012.365;9282.544;9064.288;8189.165;7341.6763;9106.513;8685.301;8978.9375;9713.2295;10153.407;11516.412;11227.718;11144.22;11248.948;12634.438;12459.088;12371.177;14184.612;13816.492;;;
GUY Total;;3649.2754;4318.6465;4790.2637;6093.414;6071.6753;5140.5713;5587.7764;5932.4985;7655.7007;9174.269;9131.178;8915.736;9012.365;9282.544;9064.288;8189.165;7341.6763;9106.513;8685.301;8978.9375;9713.2295;10153.407;11516.412;11227.718;11144.22;11248.948;12634.438;12459.088;12371.177;14184.612;13816.492;;;
HKG;Hong Kong;23868.459;24375.887;28285.232;30461.104;27249.283;28937.334;28513.863;28363.01;28449.79;28398.51;29337.334;36671.15;35543.574;36507.19;40706.633;38935.48;41052.85;43421.625;40117.203;43534.28;45030.29;45897.434;43749.9;44547.46;43148.523;44121.883;45066.92;48179.9;48609.64;45990.86;34418.75;;;
HKG Total;;23868.459;24375.887;28285.232;30461.104;27249.283;28937.334;28513.863;28363.01;28449.79;28398.51;29337.334;36671.15;35543.574;36507.19;40706.633;38935.48;41052.85;43421.625;40117.203;43534.28;45030.29;45897.434;43749.9;44547.46;43148.523;44121.883;45066.92;48179.9;48609.64;45990.86;34418.75;;;
HND;Honduras;3420.6929;3321.8376;3333.216;3232.187;3140.9373;3302.3174;3593.1072;3588.894;3750.6787;3913.9841;3657.3855;3886.6245;3824.1345;4087.4094;4235.931;4243.7075;3989.0889;4827.8486;4677.777;4338.667;4439.492;4406.6816;4707.272;4629.147;4979.008;5439.805;5242.269;5456.1885;5896.7534;5640.568;5048.4497;;;
HND Total;;3420.6929;3321.8376;3333.216;3232.187;3140.9373;3302.3174;3593.1072;3588.894;3750.6787;3913.9841;3657.3855;3886.6245;3824.1345;4087.4094;4235.931;4243.7075;3989.0889;4827.8486;4677.777;4338.667;4439.492;4406.6816;4707.272;4629.147;4979.008;5439.805;5242.269;5456.1885;5896.7534;5640.568;5048.4497;;;
HRV;Croatia;20686.525;17295.715;16781.605;17528.975;17608.57;18274.979;19804.262;19815.602;21187.268;22173.107;21227.025;22525.262;22668.963;23832.379;24877.861;24671.021;24436.512;24617.822;24549.996;24300.623;24781.908;21703.076;20222.29;22296.646;22411.172;21392.176;22428.08;22608.02;23593.492;23200.729;22304.447;;;
HRV Total;;20686.525;17295.715;16781.605;17528.975;17608.57;18274.979;19804.262;19815.602;21187.268;22173.107;21227.025;22525.262;22668.963;23832.379;24877.861;24671.021;24436.512;24617.822;24549.996;24300.623;24781.908;21703.076;20222.29;22296.646;22411.172;21392.176;22428.08;22608.02;23593.492;23200.729;22304.447;;;
HTI;Haiti;593.3897;588.48224;623.83795;463.11212;388.79932;597.5131;681.437;810.0591;781.5385;830.85364;836.0804;893.391;961.6241;874.4462;990.22144;1015.81964;1022.4895;1084.6621;1075.1736;1005.77826;922.15204;958.5984;1037.8396;1075.7772;1142.4454;1284.612;1314.9376;1287.2642;1325.5319;1184.3462;977.08136;;;
HTI Total;;593.3897;588.48224;623.83795;463.11212;388.79932;597.5131;681.437;810.0591;781.5385;830.85364;836.0804;893.391;961.6241;874.4462;990.22144;1015.81964;1022.4895;1084.6621;1075.1736;1005.77826;922.15204;958.5984;1037.8396;1075.7772;1142.4454;1284.612;1314.9376;1287.2642;1325.5319;1184.3462;977.08136;;;
HUN;Hungary;31154.18;29099.613;27931.543;26921.88;27419.527;27771.453;28350.887;27726.135;28211.484;28282.535;27524.092;28261.502;27680.426;28106.879;28622.2;30582.84;30034.668;29686.33;29320.72;27245.459;27819.338;27072.97;25308.668;24057.617;24145.828;25501.146;26030.773;27509.97;27740.646;28131.205;27724.254;;;
HUN Total;;31154.18;29099.613;27931.543;26921.88;27419.527;27771.453;28350.887;27726.135;28211.484;28282.535;27524.092;28261.502;27680.426;28106.879;28622.2;30582.84;30034.668;29686.33;29320.72;27245.459;27819.338;27072.97;25308.668;24057.617;24145.828;25501.146;26030.773;27509.97;27740.646;28131.205;27724.254;;;
IDN;Indonesia;3294.7917;3522.5188;3801.7942;3983.7983;4102.256;4392.264;4633.9023;4948.9565;4789.7163;5151.666;5435.4355;5740.4346;5815.386;6224.9414;6087.6787;6186.4365;6211.292;6579.23;6569.101;6662.824;7121.819;7429.8623;7574.457;7225.1826;7235.558;7266.8945;7212.07;7388.523;8026.891;8474.4795;7771.042;;;
IDN Total;;3294.7917;3522.5188;3801.7942;3983.7983;4102.256;4392.264;4633.9023;4948.9565;4789.7163;5151.666;5435.4355;5740.4346;5815.386;6224.9414;6087.6787;6186.4365;6211.292;6579.23;6569.101;6662.824;7121.819;7429.8623;7574.457;7225.1826;7235.558;7266.8945;7212.07;7388.523;8026.891;8474.4795;7771.042;;;
IND;India;2643.1104;2730.9583;2812.7422;2824.2505;2916.78;3072.884;3134.0286;3244.4333;3377.1096;3411.3298;3518.6821;3469.8364;3519.7168;3583.3396;3826.2053;3987.0566;4136.6675;4423.9287;4616.339;4892.3794;5033.775;5236.977;5447.3413;5555.5483;5857.2837;5988.8335;6184.2495;6346.3545;6633.665;6731.805;6317.096;;;
IND Total;;2643.1104;2730.9583;2812.7422;2824.2505;2916.78;3072.884;3134.0286;3244.4333;3377.1096;3411.3298;3518.6821;3469.8364;3519.7168;3583.3396;3826.2053;3987.0566;4136.6675;4423.9287;4616.339;4892.3794;5033.775;5236.977;5447.3413;5555.5483;5857.2837;5988.8335;6184.2495;6346.3545;6633.665;6731.805;6317.096;;;
IRL;Ireland;33823.188;34941.062;34865.6;35430.54;36785.88;37329.59;39103.8;40034.047;42625.582;44500.22;45993.887;47836.67;46569.605;44674.87;44733.043;45659.78;45880.33;45259.535;44106.4;39248.785;39407.06;37465.4;36688.957;35956.3;35600.855;37274.28;38517.676;38225.68;38573.797;38270.875;35630.062;;;
IRL Total;;33823.188;34941.062;34865.6;35430.54;36785.88;37329.59;39103.8;40034.047;42625.582;44500.22;45993.887;47836.67;46569.605;44674.87;44733.043;45659.78;45880.33;45259.535;44106.4;39248.785;39407.06;37465.4;36688.957;35956.3;35600.855;37274.28;38517.676;38225.68;38573.797;38270.875;35630.062;;;
IRN;Iran;14540.782;15178.739;16395.33;15073.914;16816.41;17401.883;18683.662;18984.059;19468.623;20652.555;21307.21;22379.375;24156.205;24372.035;26526.404;27646.453;29747.424;31167.166;31688.732;32012.967;32127.781;33133.56;33081.695;33749.086;34474.914;33567.574;34556.773;35336.23;36060.9;37636.082;38705.87;;;
IRN Total;;14540.782;15178.739;16395.33;15073.914;16816.41;17401.883;18683.662;18984.059;19468.623;20652.555;21307.21;22379.375;24156.205;24372.035;26526.404;27646.453;29747.424;31167.166;31688.732;32012.967;32127.781;33133.56;33081.695;33749.086;34474.914;33567.574;34556.773;35336.23;36060.9;37636.082;38705.87;;;
IRQ;Iraq;13462.373;8406.837;12949.507;16394.72;17684.621;17028.674;16503.838;18957.375;13784.206;9625.282;13100.986;14176.429;13048.608;11233.329;11703.38;10743.436;10367.605;10543.257;11838.88;11209.113;12167.795;12087.509;12609.8;13361.737;12829.746;12457.778;13748.048;15090.169;14896.87;15430.376;12996.267;;;
IRQ Total;;13462.373;8406.837;12949.507;16394.72;17684.621;17028.674;16503.838;18957.375;13784.206;9625.282;13100.986;14176.429;13048.608;11233.329;11703.38;10743.436;10367.605;10543.257;11838.88;11209.113;12167.795;12087.509;12609.8;13361.737;12829.746;12457.778;13748.048;15090.169;14896.87;15430.376;12996.267;;;
ISL;Iceland;85042.65;82124.38;83950.5;86327.31;86541.71;88842.27;93512.52;97298.73;104159.3;112739.61;118057.81;117792.88;121304.664;121068.53;122384.42;120874.47;129510.24;144361.56;177673.47;176767.39;177121.83;176561.36;177259.34;181204.22;178940.12;184878.39;183038.08;186955.55;188294;175527.73;155754.6;;;
ISL Total;;85042.65;82124.38;83950.5;86327.31;86541.71;88842.27;93512.52;97298.73;104159.3;112739.61;118057.81;117792.88;121304.664;121068.53;122384.42;120874.47;129510.24;144361.56;177673.47;176767.39;177121.83;176561.36;177259.34;181204.22;178940.12;184878.39;183038.08;186955.55;188294;175527.73;155754.6;;;
ISR;Israel;26885.531;26559.719;30160.828;31914.094;32465.623;35630.555;36044.28;38517.1;39661.71;40251.742;37170.773;36424.156;36462.848;36880.75;36929.9;36458.637;36028.926;36725.434;37139.566;35460.906;36229.89;36258.53;37267.684;34654.492;33226.094;34426.47;34475.207;34537.31;34493.293;35085.457;32593.809;;;
ISR Total;;26885.531;26559.719;30160.828;31914.094;32465.623;35630.555;36044.28;38517.1;39661.71;40251.742;37170.773;36424.156;36462.848;36880.75;36929.9;36458.637;36028.926;36725.434;37139.566;35460.906;36229.89;36258.53;37267.684;34654.492;33226.094;34426.47;34475.207;34537.31;34493.293;35085.457;32593.809;;;
ITA;Italy;32681.436;33685.176;33524.938;32795.35;32712.924;34040.48;34021.668;34593.875;35381.56;36375.1;36851.285;36802.125;36481.184;37436.27;37979.51;37805.06;37481.96;36549.08;35659.477;33102.94;34046.293;33284.145;32295.604;30816.12;29214.832;30129.14;30305.607;30716.617;30957.242;30464.062;27763.8;;;
ITA Total;;32681.436;33685.176;33524.938;32795.35;32712.924;34040.48;34021.668;34593.875;35381.56;36375.1;36851.285;36802.125;36481.184;37436.27;37979.51;37805.06;37481.96;36549.08;35659.477;33102.94;34046.293;33284.145;32295.604;30816.12;29214.832;30129.14;30305.607;30716.617;30957.242;30464.062;27763.8;;;
JAM;Jamaica;12493.724;12933.527;13859.205;13928.321;14217.115;15690.177;16020.312;16585.48;16816.357;17090.36;16542.139;16699.781;16544.623;17159.158;16704.465;17141.955;19489.295;19765.36;16746.21;13112.701;11996.119;12652.353;11797.367;12772.726;12533.961;12881.866;13296.951;11942.507;12335.036;15387.241;12098.731;;;
JAM Total;;12493.724;12933.527;13859.205;13928.321;14217.115;15690.177;16020.312;16585.48;16816.357;17090.36;16542.139;16699.781;16544.623;17159.158;16704.465;17141.955;19489.295;19765.36;16746.21;13112.701;11996.119;12652.353;11797.367;12772.726;12533.961;12881.866;13296.951;11942.507;12335.036;15387.241;12098.731;;;
JOR;Jordan;12111.728;10900.639;12181.209;11432.909;12516.938;12590.666;13089.599;12316.658;12871.409;12724.906;13120.57;12340.564;12667.007;13522.985;14329.478;15157.3;14647.871;13221.179;12430.374;12645.595;12875.821;13144.025;13750.912;12796.636;11669.372;11497.137;11675.889;11783.324;11233.428;11258.242;9838.043;;;
JOR Total;;12111.728;10900.639;12181.209;11432.909;12516.938;12590.666;13089.599;12316.658;12871.409;12724.906;13120.57;12340.564;12667.007;13522.985;14329.478;15157.3;14647.871;13221.179;12430.374;12645.595;12875.821;13144.025;13750.912;12796.636;11669.372;11497.137;11675.889;11783.324;11233.428;11258.242;9838.043;;;
JPN;Japan;42192.62;43008.555;43327.996;43862.707;45380.562;47580.195;48386.64;49199.973;48110.82;48803.297;49229.383;48662.785;48643.8;48392.92;48887.336;49007.164;48855.34;48292.938;47418.41;43254.305;46114.938;43712.98;43428.844;43171.46;42146.168;41622.67;41172.285;41783.035;41694.16;40868.688;38029.27;;;
JPN Total;;42192.62;43008.555;43327.996;43862.707;45380.562;47580.195;48386.64;49199.973;48110.82;48803.297;49229.383;48662.785;48643.8;48392.92;48887.336;49007.164;48855.34;48292.938;47418.41;43254.305;46114.938;43712.98;43428.844;43171.46;42146.168;41622.67;41172.285;41783.035;41694.16;40868.688;38029.27;;;
KAZ;Kazakhstan;50954.35;50520.637;49724.492;44061.652;39793.1;36430.83;32284.078;29049.662;27982.146;26675.014;24267.602;27235.379;27638.352;30142.02;31813.24;32415.734;34517.496;37807.3;39400.227;34913.5;36949.332;41342.99;42868.23;42457.91;43947.973;36005.64;39906.78;42406.99;43320.58;43404.29;39590.598;;;
KAZ Total;;50954.35;50520.637;49724.492;44061.652;39793.1;36430.83;32284.078;29049.662;27982.146;26675.014;24267.602;27235.379;27638.352;30142.02;31813.24;32415.734;34517.496;37807.3;39400.227;34913.5;36949.332;41342.99;42868.23;42457.91;43947.973;36005.64;39906.78;42406.99;43320.58;43404.29;39590.598;;;
KEN;Kenya;1551.4095;1393.2302;1463.5555;1466.0312;1455.7029;1503.7559;1531.3595;1386.0267;1486.7537;1371.884;1478.989;1460.3776;1429.8123;1321.4634;1380.108;1454.5236;1549.1115;1513.085;1449.5537;1537.1414;1622.7236;1633.5077;1575.0422;1620.4467;1655.0222;1911.9027;1966.5875;1939.6578;2047.2719;1946.3412;1902.1184;;;
KEN Total;;1551.4095;1393.2302;1463.5555;1466.0312;1455.7029;1503.7559;1531.3595;1386.0267;1486.7537;1371.884;1478.989;1460.3776;1429.8123;1321.4634;1380.108;1454.5236;1549.1115;1513.085;1449.5537;1537.1414;1622.7236;1633.5077;1575.0422;1620.4467;1655.0222;1911.9027;1966.5875;1939.6578;2047.2719;1946.3412;1902.1184;;;
KGZ;Kyrgyzstan;;;18381.018;16076.551;14149.494;11880.359;14570.59;13532.085;13377.348;14188.851;14177.031;13327.09;11277.386;11796.489;11902.486;11085.9;11181.869;12160.274;11500.209;11463.955;10836.261;12183.774;13588.381;12564.967;12576.968;11097.164;11131.658;11335.21;11778.976;10582.124;10439.837;;;
KGZ Total;;;;18381.018;16076.551;14149.494;11880.359;14570.59;13532.085;13377.348;14188.851;14177.031;13327.09;11277.386;11796.489;11902.486;11085.9;11181.869;12160.274;11500.209;11463.955;10836.261;12183.774;13588.381;12564.967;12576.968;11097.164;11131.658;11335.21;11778.976;10582.124;10439.837;;;
KHM;Cambodia;229.13377;234.03383;224.29364;212.7902;205.51372;568.51733;610.1345;702.9782;804.9414;812.65686;739.4555;769.4097;754.1447;803.81635;813.56445;909.82135;967.99585;1116.1547;1152.201;1399.9335;1591.3198;1623.9176;1783.7217;1866.1189;2031.7474;2299.249;2828.744;2950.2996;3674.9282;4069.4607;3918.6375;;;
KHM Total;;229.13377;234.03383;224.29364;212.7902;205.51372;568.51733;610.1345;702.9782;804.9414;812.65686;739.4555;769.4097;754.1447;803.81635;813.56445;909.82135;967.99585;1116.1547;1152.201;1399.9335;1591.3198;1623.9176;1783.7217;1866.1189;2031.7474;2299.249;2828.744;2950.2996;3674.9282;4069.4607;3918.6375;;;
KIR;Kiribati;1004.5821;995.76355;970.9019;954.1689;940.2628;926.2218;913.17377;895.2229;879.59607;864.6069;1636.9808;1370.5415;1968.1482;2004.7972;2104.4172;2702.9736;2949.2144;2641.9128;2903.1602;2485.87;2429.8928;2205.633;2144.771;2137.1572;2120.318;2253.5444;2381.1416;2644.3162;2619.8926;2592.4326;2417.654;;;
KIR Total;;1004.5821;995.76355;970.9019;954.1689;940.2628;926.2218;913.17377;895.2229;879.59607;864.6069;1636.9808;1370.5415;1968.1482;2004.7972;2104.4172;2702.9736;2949.2144;2641.9128;2903.1602;2485.87;2429.8928;2205.633;2144.771;2137.1572;2120.318;2253.5444;2381.1416;2644.3162;2619.8926;2592.4326;2417.654;;;
KNA;Saint Kitts and Nevis;5394.229;7260.5464;7212.62;8680.2;10047.3125;8454.714;9819.931;9667.326;9541.723;9414.932;16953.34;17325.975;18841.998;18804.082;20273.662;18827.416;19448.727;20502.656;20417.77;20836.158;20931.088;21851.84;21675.412;21579.867;21838.453;22357.986;22948.984;22939.45;23219.201;23235.219;19642.783;;;
KNA Total;;5394.229;7260.5464;7212.62;8680.2;10047.3125;8454.714;9819.931;9667.326;9541.723;9414.932;16953.34;17325.975;18841.998;18804.082;20273.662;18827.416;19448.727;20502.656;20417.77;20836.158;20931.088;21851.84;21675.412;21579.867;21838.453;22357.986;22948.984;22939.45;23219.201;23235.219;19642.783;;;
KOR;South Korea;24162.186;27100.135;30416.184;33184.63;35601.617;38704.72;42497.312;46366.664;42134.332;45648.047;48001.297;48871.348;50846.504;52236.246;53247.426;54864.957;55579.965;57040.523;57774.65;57865.918;62221.305;64630.86;64802.52;64441.535;64414.168;64988.355;66508.26;66910.4;67828.93;66896.13;64311.133;;;
KOR Total;;24162.186;27100.135;30416.184;33184.63;35601.617;38704.72;42497.312;46366.664;42134.332;45648.047;48001.297;48871.348;50846.504;52236.246;53247.426;54864.957;55579.965;57040.523;57774.65;57865.918;62221.305;64630.86;64802.52;64441.535;64414.168;64988.355;66508.26;66910.4;67828.93;66896.13;64311.133;;;
KWT;Kuwait;54624.383;34431.15;50396.95;60576.812;71253.17;90954.09;87488.125;88023.63;104961.875;105604.36;109536.43;107600.5;110790.81;128997.93;140627.27;149455.02;135875.58;124446.914;127302.03;124978.22;133508.61;128367.73;122214.484;116451.43;114804.984;114809.12;109505.66;109312.47;106945.27;94612.555;91131.37;;;
KWT Total;;54624.383;34431.15;50396.95;60576.812;71253.17;90954.09;87488.125;88023.63;104961.875;105604.36;109536.43;107600.5;110790.81;128997.93;140627.27;149455.02;135875.58;124446.914;127302.03;124978.22;133508.61;128367.73;122214.484;116451.43;114804.984;114809.12;109505.66;109312.47;106945.27;94612.555;91131.37;;;
LAO;Laos;691.41486;731.76855;710.09534;711.1363;689.24896;796.1571;886.9237;880.1169;1099.9237;1277.631;2086.755;2181.866;2136.59;2052.7878;2100.1213;2393.1812;2667.1423;2575.5598;2873.2812;2970.4678;4625.6934;5997.1875;6164.582;7166.971;7185.512;10405.498;17431.762;17422.662;17858.32;18251.771;19671.4;;;
LAO Total;;691.41486;731.76855;710.09534;711.1363;689.24896;796.1571;886.9237;880.1169;1099.9237;1277.631;2086.755;2181.866;2136.59;2052.7878;2100.1213;2393.1812;2667.1423;2575.5598;2873.2812;2970.4678;4625.6934;5997.1875;6164.582;7166.971;7185.512;10405.498;17431.762;17422.662;17858.32;18251.771;19671.4;;;
LBN;Lebanon;5810.4277;9377.385;9394.195;11559.439;12784.609;13479.627;14030.888;15778.79;15650.636;15773.97;14027.069;14693.647;14617.907;14599.101;14306.836;13477.188;12290.246;10675.19;13562.222;16556.137;15851.824;15852.878;17291.496;15720.306;14662.743;15864.785;16684.846;18256.084;17677.684;18447.385;18341.434;;;
LBN Total;;5810.4277;9377.385;9394.195;11559.439;12784.609;13479.627;14030.888;15778.79;15650.636;15773.97;14027.069;14693.647;14617.907;14599.101;14306.836;13477.188;12290.246;10675.19;13562.222;16556.137;15851.824;15852.878;17291.496;15720.306;14662.743;15864.785;16684.846;18256.084;17677.684;18447.385;18341.434;;;
LBR;Liberia;1087.0778;697.7481;691.24915;734.1771;736.79364;730.8692;737.954;680.5799;635.8753;601.56647;653.1203;676.3977;650.0258;706.2132;756.93256;846.99274;820.09924;728.0793;619.2872;547.7462;837.7503;896.8281;960.11163;830.95197;1071.9282;1054.1843;1187.8451;1007.256;1122.4692;1100.8312;1030.0463;;;
LBR Total;;1087.0778;697.7481;691.24915;734.1771;736.79364;730.8692;737.954;680.5799;635.8753;601.56647;653.1203;676.3977;650.0258;706.2132;756.93256;846.99274;820.09924;728.0793;619.2872;547.7462;837.7503;896.8281;960.11163;830.95197;1071.9282;1054.1843;1187.8451;1007.256;1122.4692;1100.8312;1030.0463;;;
LBY;Libya;35140.617;35798.496;32633.617;33062.53;33473.332;34273.707;35569.062;36826.414;34881.055;31008.64;41310.375;40686.832;40937.99;39334.31;39269.44;39565.17;35456.92;34507.516;35070.414;39304.934;40607.305;27959.967;36727.043;38740.535;37137.06;29102.475;28077.625;31206.035;31662.736;32421.873;28032.594;;;
LBY Total;;35140.617;35798.496;32633.617;33062.53;33473.332;34273.707;35569.062;36826.414;34881.055;31008.64;41310.375;40686.832;40937.99;39334.31;39269.44;39565.17;35456.92;34507.516;35070.414;39304.934;40607.305;27959.967;36727.043;38740.535;37137.06;29102.475;28077.625;31206.035;31662.736;32421.873;28032.594;;;
LCA;Saint Lucia;5143.359;5073.0635;5010.9624;4925.49;5741.493;5673.892;5628.193;5560.613;5510.9873;5462.3057;9184.194;9891.598;8871.31;9741.581;9705.236;9942.035;9963.842;10237.039;10455.242;10132.104;10512.177;10594.858;10486.784;10408.478;10461.293;10483.141;10549.006;11386.956;10425.025;15259.877;12810.415;;;
LCA Total;;5143.359;5073.0635;5010.9624;4925.49;5741.493;5673.892;5628.193;5560.613;5510.9873;5462.3057;9184.194;9891.598;8871.31;9741.581;9705.236;9942.035;9963.842;10237.039;10455.242;10132.104;10512.177;10594.858;10486.784;10408.478;10461.293;10483.141;10549.006;11386.956;10425.025;15259.877;12810.415;;;
LKA;Sri Lanka;1737.2018;1712.5369;1815.5715;1957.905;2099.1562;2241.126;2338.9192;2397.6028;2540.6016;2716.5598;2851.8083;2750.116;2799.956;2852.4663;2745.2893;3140.5315;3338.2832;3358.7993;3134.0298;3147.0713;3368.2034;3623.197;3708.9927;3748.5815;4007.7144;4476.9307;4878.142;4726.284;4876.866;4973.5986;4853.1104;;;
LKA Total;;1737.2018;1712.5369;1815.5715;1957.905;2099.1562;2241.126;2338.9192;2397.6028;2540.6016;2716.5598;2851.8083;2750.116;2799.956;2852.4663;2745.2893;3140.5315;3338.2832;3358.7993;3134.0298;3147.0713;3368.2034;3623.197;3708.9927;3748.5815;4007.7144;4476.9307;4878.142;4726.284;4876.866;4973.5986;4853.1104;;;
LSO;Lesotho;489.14743;488.6418;500.82684;510.09277;559.5853;560.04266;560.7122;546.0696;471.9627;685.7546;1235.5165;1251.1484;1287.3501;1312.4877;1322.3566;1564.1565;1662.7148;2002.3392;1805.3613;2048.8052;2175.0613;1932.6333;2021.0361;2043.1262;2074.0635;2002.84;2142.4592;2253.6167;2182.0183;2188.859;2092.5305;;;
LSO Total;;489.14743;488.6418;500.82684;510.09277;559.5853;560.04266;560.7122;546.0696;471.9627;685.7546;1235.5165;1251.1484;1287.3501;1312.4877;1322.3566;1564.1565;1662.7148;2002.3392;1805.3613;2048.8052;2175.0613;1932.6333;2021.0361;2043.1262;2074.0635;2002.84;2142.4592;2253.6167;2182.0183;2188.859;2092.5305;;;
LTU;Lithuania;53332.77;56268.625;34450.766;26994.422;23406.48;26322.54;28842.996;26790.72;28961.152;24166.148;21678.389;25635.498;27703.938;29436.242;30054.08;27817.504;26969.346;29979.059;30124.53;28308.246;20948.318;22097.504;22394.059;20938.49;20422.297;21569.006;22207.523;23635.178;24616.006;24873.117;24924.742;;;
LTU Total;;53332.77;56268.625;34450.766;26994.422;23406.48;26322.54;28842.996;26790.72;28961.152;24166.148;21678.389;25635.498;27703.938;29436.242;30054.08;27817.504;26969.346;29979.059;30124.53;28308.246;20948.318;22097.504;22394.059;20938.49;20422.297;21569.006;22207.523;23635.178;24616.006;24873.117;24924.742;;;
