Code;Entity;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;
BHR Total;;145128.42;156980.11;127168.414;146765.97;139849.06;135597.83;131670.08;150403.06;153224.42;152743.7;157253.03;158559.69;165096.56;165859.02;160432.52;166315.33;164833.39;157924.5;154979.23;144448.34;141914.1;140596.47;149451.38;161365.53;153929.6;149472.8;144113.94;143466.25;142291.5;155398.47;156095.8;;;
BHS;Bahamas;44375.27;38593.03;31967.479;33030.215;35966.133;42184.473;46717.66;44765.137;49993.695;43303.824;50650.19;50899.527;52098.81;35908.117;39267.47;37244.637;42663.53;48444.41;46670.273;34584.957;35531.06;30982.486;35422.555;32656.572;31772.066;30096.48;31247.096;36977.28;39876.79;39636.066;33301.77;;;
BHS Total;;44375.27;38593.03;31967.479;33030.215;35966.133;42184.473;46717.66;44765.137;49993.695;43303.824;50650.19;50899.527;52098.81;35908.117;39267.47;37244.637;42663.53;48444.41;46670.273;34584.957;35531.06;30982.486;35422.555;32656.572;31772.066;30096.48;31247.096;36977.28;39876.79;39636.066;33301.77;;;
BIH;Bosnia and Herzegovina;;;10196.318;7986.918;8805.4375;14646.124;8743.871;12041.526;13988.424;14060.222;15474.596;15337.629;15402.803;13485.733;14065.254;13151.445;13561.985;13117.112;15073.022;18430.324;20074.406;19803.19;19624.715;20242.201;19855.676;20149.87;20852.678;20939.965;21542.352;20694.338;19464.836;;;
BIH Total;;;;10196.318;7986.918;8805.4375;14646.124;8743.871;12041.526;13988.424;14060.222;15474.596;15337.629;15402.803;13485.733;14065.254;13151.445;13561.985;13117.112;15073.022;18430.324;20074.406;19803.19;19624.715;20242.201;19855.676;20149.87;20852.678;20939.965;21542.352;20694.338;19464.836;;;
BLR;Belarus;44682.48;44456.22;38484.066;32165.705;26902.42;23964.195;24638.46;25007.492;24557.223;24001.736;24868.184;24306.926;25309.941;25292.014;28508.88;28600.459;30598.045;29999.406;30513.402;28957.873;31470.04;30981.086;33557.434;30421.854;30426.229;27527.16;28104.533;28623.031;31689.998;31923.436;29768.562;;;
BLR Total;;44682.48;44456.22;38484.066;32165.705;26902.42;23964.195;24638.46;25007.492;24557.223;24001.736;24868.184;24306.926;25309.941;25292.014;28508.88;28600.459;30598.045;29999.406;30513.402;28957.873;31470.04;30981.086;33557.434;30421.854;30426.229;27527.16;28104.533;28623.031;31689.998;31923.436;29768.562;;;
BLZ;Belize;7848.883;8707.274;7151.608;6990.5894;6527.682;7869.031;6818.0015;10178.639;9663.354;9712.191;10038.552;10707.64;10042.477;9553.475;8929.1455;9279.945;10366.804;9503.804;8935.545;9060.757;10492.445;8946.38;9087.132;9683.304;9421.46;10197.744;10002.819;10896.961;9546.048;9883.737;7226.4336;;;
BLZ Total;;7848.883;8707.274;7151.608;6990.5894;6527.682;7869.031;6818.0015;10178.639;9663.354;9712.191;10038.552;10707.64;10042.477;9553.475;8929.1455;9279.945;10366.804;9503.804;8935.545;9060.757;10492.445;8946.38;9087.132;9683.304;9421.46;10197.744;10002.819;10896.961;9546.048;9883.737;7226.4336;;;
BMU;Bermuda;47463.18;41290.523;32011.799;36931.12;35364.73;36060.49;36976.926;36638.637;36411.4;36184.664;39297.88;39604.938;41429.88;41114.773;42390.04;44480.98;50145.137;58163.746;55556.035;43647.02;51318.156;33119.836;35803.332;35994.32;46727.742;39425.17;50238.902;49395.46;50863.38;50639.293;46161.586;;;
BMU Total;;47463.18;41290.523;32011.799;36931.12;35364.73;36060.49;36976.926;36638.637;36411.4;36184.664;39297.88;39604.938;41429.88;41114.773;42390.04;44480.98;50145.137;58163.746;55556.035;43647.02;51318.156;33119.836;35803.332;35994.32;46727.742;39425.17;50238.902;49395.46;50863.38;50639.293;46161.586;;;
BOL;Bolivia;3810.2156;3672.283;3885.0464;3756.717;4114.7227;4626.537;4448.006;4897.6914;4461.145;4920.966;5072.6533;4264.8857;4571.173;6038.8374;6154.9224;5926.305;6410.1855;6767.9814;6827.641;6614.823;6598.9834;6716.6226;7838.919;7813.6904;7770.6777;8018.6577;8176.835;7938.3027;8088.3423;7903.12;6540.533;;;
BOL Total;;3810.2156;3672.283;3885.0464;3756.717;4114.7227;4626.537;4448.006;4897.6914;4461.145;4920.966;5072.6533;4264.8857;4571.173;6038.8374;6154.9224;5926.305;6410.1855;6767.9814;6827.641;6614.823;6598.9834;6716.6226;7838.919;7813.6904;7770.6777;8018.6577;8176.835;7938.3027;8088.3423;7903.12;6540.533;;;
BRA;Brazil;10391.007;10542.793;10515.058;10825.511;11174.377;11697.941;12198.168;12775.408;13032.864;12995.942;13400.32;12893.828;13021.791;13111.923;13593.7;13792.465;14020.683;14770.351;15255.087;15004.24;16220.931;16629.84;16963.494;17221.44;17519.043;17140.15;16591.764;16608.686;16539.11;16681.945;15921.327;;;
BRA Total;;10391.007;10542.793;10515.058;10825.511;11174.377;11697.941;12198.168;12775.408;13032.864;12995.942;13400.32;12893.828;13021.791;13111.923;13593.7;13792.465;14020.683;14770.351;15255.087;15004.24;16220.931;16629.84;16963.494;17221.44;17519.043;17140.15;16591.764;16608.686;16539.11;16681.945;15921.327;;;
BRB;Barbados;21252.285;21444.262;22581.994;21941.893;20752.266;21489.178;19257.598;23147.008;23473.729;24525.236;26318.064;26262.209;26331.5;26508.63;26606.236;26715.06;26681.957;25360.926;29773.459;27941.865;26839.543;28088.297;26331.783;26676.488;23147.074;24569.877;25016.707;23670.777;25095.537;25172.027;21577.828;;;
BRB Total;;21252.285;21444.262;22581.994;21941.893;20752.266;21489.178;19257.598;23147.008;23473.729;24525.236;26318.064;26262.209;26331.5;26508.63;26606.236;26715.06;26681.957;25360.926;29773.459;27941.865;26839.543;28088.297;26331.783;26676.488;23147.074;24569.877;25016.707;23670.777;25095.537;25172.027;21577.828;;;
BRN;Brunei;78462.11;60861.88;57892.043;53614.46;50252.98;60665.79;55188.805;57698.684;51055.582;58967.64;58884.86;65610.27;75133.31;76284.74;83202.56;92130.18;139666.8;144318.16;145980.9;95420.39;107111.19;108531.15;104173.734;95693.625;106339.25;116170.31;120051.6;119337.055;122979.12;120314.98;125303.02;;;
BRN Total;;78462.11;60861.88;57892.043;53614.46;50252.98;60665.79;55188.805;57698.684;51055.582;58967.64;58884.86;65610.27;75133.31;76284.74;83202.56;92130.18;139666.8;144318.16;145980.9;95420.39;107111.19;108531.15;104173.734;95693.625;106339.25;116170.31;120051.6;119337.055;122979.12;120314.98;125303.02;;;
BTN;Bhutan;6680.068;6690.798;7066.251;7435.9053;7941.4434;8379.913;9016.825;8929.931;8571.275;8449.229;8469.052;9100.751;9810.103;10658.221;10014.694;11119.834;17746.78;21903.543;22370.271;22935.088;24284.154;23369.613;22460.117;24615.076;23328.47;24203.82;24692.543;24327.346;23138.41;27251.602;26593.059;;;
BTN Total;;6680.068;6690.798;7066.251;7435.9053;7941.4434;8379.913;9016.825;8929.931;8571.275;8449.229;8469.052;9100.751;9810.103;10658.221;10014.694;11119.834;17746.78;21903.543;22370.271;22935.088;24284.154;23369.613;22460.117;24615.076;23328.47;24203.82;24692.543;24327.346;23138.41;27251.602;26593.059;;;
BWA;Botswana;6672.773;6786.519;7999.798;7541.652;7301.1577;7197.2627;6652.957;6699.427;7024.5474;6505.0327;8308.661;8561.099;8817.649;8856.523;8571.5;8948.104;9380.948;9445.073;9627.653;8820.0205;8901.267;9151.255;8872.199;8641.081;8513.395;10171.935;10964.355;9879.757;9597.184;9467.984;8843.107;;;
BWA Total;;6672.773;6786.519;7999.798;7541.652;7301.1577;7197.2627;6652.957;6699.427;7024.5474;6505.0327;8308.661;8561.099;8817.649;8856.523;8571.5;8948.104;9380.948;9445.073;9627.653;8820.0205;8901.267;9151.255;8872.199;8641.081;8513.395;10171.935;10964.355;9879.757;9597.184;9467.984;8843.107;;;
CAF;Central African Republic;441.40274;448.57892;417.9706;441.51712;448.81924;437.50137;446.845;434.48816;420.89172;409.53317;384.72043;386.3453;373.5856;342.82562;359.33325;352.1099;358.04587;349.30215;276.59943;260.59473;260.0182;279.48138;282.5135;206.79347;238.23833;297.00418;307.3053;301.66687;302.45892;299.18008;280.73853;;;
CAF Total;;441.40274;448.57892;417.9706;441.51712;448.81924;437.50137;446.845;434.48816;420.89172;409.53317;384.72043;386.3453;373.5856;342.82562;359.33325;352.1099;358.04587;349.30215;276.59943;260.59473;260.0182;279.48138;282.5135;206.79347;238.23833;297.00418;307.3053;301.66687;302.45892;299.18008;280.73853;;;
CAN;Canada;108781.125;107826;109417.39;110924.66;113906.836;115464.414;117390.445;116831.45;114154.59;116807.08;118875.336;115218.68;117915.38;117365.12;118078.05;117744.77;115946.31;119158.6;116479.15;110665.805;110485.93;113449.32;112586.7;114051.086;113198.414;112891.76;110180.79;110509.586;110059.28;107980.76;100497.28;;;
CAN Total;;108781.125;107826;109417.39;110924.66;113906.836;115464.414;117390.445;116831.45;114154.59;116807.08;118875.336;115218.68;117915.38;117365.12;118078.05;117744.77;115946.31;119158.6;116479.15;110665.805;110485.93;113449.32;112586.7;114051.086;113198.414;112891.76;110180.79;110509.586;110059.28;107980.76;100497.28;;;
CHE;Switzerland;49410.152;50118.11;50348.56;49807.938;51916.375;48874.76;47002.17;50136.387;50269.312;52284.445;50728.715;53862.72;49782.92;48884.53;47846.156;45606.344;47162.11;46220.9;47155.75;46436.273;44714.965;41971.254;43889.645;44514.03;41980.58;40582.914;37755.19;37489.188;37794.062;39156.45;35766.375;;;
CHE Total;;49410.152;50118.11;50348.56;49807.938;51916.375;48874.76;47002.17;50136.387;50269.312;52284.445;50728.715;53862.72;49782.92;48884.53;47846.156;45606.344;47162.11;46220.9;47155.75;46436.273;44714.965;41971.254;43889.645;44514.03;41980.58;40582.914;37755.19;37489.188;37794.062;39156.45;35766.375;;;
CHL;Chile;11667.694;12901.113;14090.1;14660.837;15163.331;16108.677;16820.854;18978.543;18769.127;19313.86;20023.135;20184.58;20441.285;20334.662;21494.553;22090.879;22631.893;22387.78;22165.26;21051.678;21403.44;22459.62;23224.074;23629.986;23154.375;23180.021;23993.93;24517.238;25039.64;24894.514;22925.926;;;
CHL Total;;11667.694;12901.113;14090.1;14660.837;15163.331;16108.677;16820.854;18978.543;18769.127;19313.86;20023.135;20184.58;20441.285;20334.662;21494.553;22090.879;22631.893;22387.78;22165.26;21051.678;21403.44;22459.62;23224.074;23629.986;23154.375;23180.021;23993.93;24517.238;25039.64;24894.514;22925.926;;;
